                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.301,                 2.6677,                 1.5642,                0.00417,                      1,                 0.4806,                0.21285,                 1.1167,                 3.0458,                 1.5488,                 0.0865,                 0.0015,                 0.0015
                      1,                0.99735,                 2.0918,                 1.3033,                0.01083,                      1,                0.77196,                 0.4361,                 1.0469,                 2.7095,                 1.4886,               0.072069,              0.0030693,              0.0030693
                      2,                0.97065,                 1.5256,                 1.2838,                      1,                0.36287,                0.88121,                0.44377,                 1.3137,                 2.6174,                 1.7555,               0.057607,              0.0046069,              0.0046069
                      3,                0.97281,                 1.3041,                 1.2371,                  0.923,                0.47952,                0.74984,                0.38734,                 1.4509,                 2.6349,                 1.9369,               0.043113,              0.0061129,              0.0061129
                      4,                 1.0132,                 1.2776,                 1.2518,                0.93254,                0.55332,                0.73968,                0.37128,                 1.4018,                 2.4865,                 1.7104,               0.028587,              0.0075872,              0.0075872
                      5,                 1.0548,                 1.2329,                 1.2739,                0.73711,                   0.72,                0.65054,                0.30405,                 1.6075,                 2.0224,                 2.0446,                0.01403,              0.0090297,              0.0090297
                      6,                 1.0715,                 1.2984,                 1.3107,                0.76035,                    0.6,                0.66029,                0.32742,                 1.7432,                  2.188,                 2.0309,               0.009406,               0.009406,               0.009406
                      7,                 1.0329,                 1.2145,                 1.2618,                0.66296,                    0.4,                0.44133,                0.15426,                 2.3836,                 2.5747,                 2.9787,               0.009406,               0.009406,               0.009406
                      8,                 1.0502,                 1.1741,                  1.284,                0.69278,                   0.68,                0.77024,                0.40264,                 1.4704,                 2.5906,                 1.8326,               0.009307,               0.009307,               0.009307
                      9,                0.99959,                 1.1068,                 1.2742,                0.76852,                   0.68,                0.76213,                0.43424,                 1.3859,                 1.7892,                 1.7494,               0.009208,               0.009208,               0.009208
                     10,                0.98791,                 1.0757,                 1.2509,                 0.6846,                   0.56,                0.54672,                0.27333,                  1.781,                 2.0168,                 2.1713,               0.009109,               0.009109,               0.009109
                     11,                0.97846,                0.98995,                 1.2324,                0.71141,                    0.8,                0.74016,                0.36137,                 1.6944,                 1.8745,                 2.1599,                0.00901,                0.00901,                0.00901
                     12,                0.97498,                0.97185,                 1.2482,                0.63449,                    0.6,                0.61865,                0.34004,                  1.657,                 2.0311,                 1.8957,               0.008911,               0.008911,               0.008911
                     13,                0.98722,                 1.0161,                 1.2499,                0.75237,                   0.68,                0.69466,                 0.4095,                 1.5264,                 1.5728,                 1.7756,               0.008812,               0.008812,               0.008812
                     14,                0.95921,                0.93114,                  1.249,                0.86241,                0.75245,                0.81457,                0.50868,                 1.3033,                 1.4061,                 1.5543,               0.008713,               0.008713,               0.008713
                     15,                0.95401,                0.89686,                 1.2038,                0.72677,                   0.68,                 0.7214,                0.39355,                 1.5876,                  1.798,                 1.7917,               0.008614,               0.008614,               0.008614
                     16,                0.95416,                0.91476,                 1.2304,                0.41939,                0.72239,                0.61459,                0.29708,                 1.6723,                 1.8359,                 1.9395,               0.008515,               0.008515,               0.008515
                     17,                0.97189,                0.89581,                 1.2069,                0.88721,                0.62974,                0.77519,                0.45835,                 1.5681,                 1.3114,                 1.9405,               0.008416,               0.008416,               0.008416
                     18,                0.95795,                0.89986,                 1.2372,                0.67207,                   0.44,                0.57599,                 0.3292,                  1.622,                 2.2575,                  2.049,               0.008317,               0.008317,               0.008317
                     19,                0.91964,                0.82615,                  1.196,                0.63079,                   0.64,                0.60652,                0.28112,                 2.1378,                 1.7036,                 2.5767,               0.008218,               0.008218,               0.008218
                     20,                 0.9556,                   0.85,                 1.2219,                0.93199,                   0.68,                0.76239,                0.40395,                 1.7381,                 1.4185,                 1.9679,               0.008119,               0.008119,               0.008119
                     21,                0.90273,                0.79853,                 1.1804,                0.62394,                0.73029,                0.62896,                0.31702,                  1.686,                 1.6534,                 2.0122,                0.00802,                0.00802,                0.00802
                     22,                0.94043,                0.78098,                 1.2001,                0.79848,                 0.7927,                0.80853,                0.43417,                 1.6558,                 1.1827,                 2.0836,               0.007921,               0.007921,               0.007921
